['羽毛球集锦', ['羽毛球', '集锦', '空', '空', '空'], ['体育其它', '体育类'], ['中央电视台体育频道']]
['毒战', ['毒战', '空', '空', '空', '空'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['天下父母', ['天下父母', '空', '空', '空', '空'], ['专题类', '访谈'], ['山东电视台卫星频道']]
['综艺麻辣烫', ['综艺', '麻辣烫', '空', '空', '空'], ['综艺其它', '综艺类'], ['BTV-文艺']]
['英格兰足总杯', ['英格兰', '足总杯', '空', '空', '空'], ['足球', '体育类'], ['BTV-体育']]
['双凤奇缘', ['双凤', '奇缘', '空', '空', '空'], ['内地电影', '电影类'], ['江西电视台卫视频道']]
['GUIZHOUREPORT', ['GUIZHOUREPORT', '空', '空', '空', '空'], ['外语新闻', '新闻/时事类'], ['贵州电视台卫视频道']]
['蓝精灵', ['蓝精灵', '空', '空', '空', '空'], ['动画', '青少类'], ['中央电视台少儿频道']]
['第1时尚', ['第', '1', '时尚', '空', '空'], ['美容/服饰', '生活服务类'], ['海南广播电视台旅游卫视频道']]
['白云飘飘的年代', ['白云', '飘飘', '的', '年代', '空'], ['战争', '电视剧类'], ['中央电视台电视剧频道']]
['理财', ['理财', '空', '空', '空', '空'], ['投资/理财', '财经类'], ['BTV-财经']]
['淑女训练营', ['淑女', '训练营', '空', '空', '空'], ['其它国家电影', '电影类'], ['BTV-影视']]
['因为爱情有奇迹', ['因为', '爱情', '有', '奇迹', '空'], ['爱情言情', '电视剧类'], ['中央电视台新闻综合频道']]
['冠军之路', ['冠军', '之', '路', '空', '空'], ['体育其它', '体育类'], ['中央电视台体育频道']]
['军事纪实', ['军事', '纪实', '空', '空', '空'], ['专题类', '军事'], ['中央电视台军事农业频道']]
['风云小棋王第四部', ['风云', '小', '棋王', '第四部', '空'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['孔子大学堂', ['孔子', '大学堂', '空', '空', '空'], ['教学类', '课堂/讲座'], ['山东教育']]
['叶问', ['叶问', '空', '空', '空', '空'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['爱情公寓第三部', ['爱情', '公寓', '第三部', '空', '空'], ['情景喜剧', '电视剧类'], ['浙江电视台卫视频道']]
['未婚妻', ['未婚妻', '空', '空', '空', '空'], ['爱情言情', '电视剧类'], ['广西电视台卫视频道']]
['穿越时空之来客', ['穿越时空', '之', '来客', '空', '空'], ['内地电影', '电影类'], ['江西电视台卫视频道']]
['喜马拉亚星', ['喜', '马拉亚', '星', '空', '空'], ['港澳台电影', '电影类'], ['重庆电视台卫视频道']]
['女人我最美', ['女人', '我', '最美', '空', '空'], ['美容/服饰', '生活服务类'], ['海南广播电视台旅游卫视频道']]
['一见不钟情', ['一见', '不', '钟情', '空', '空'], ['爱情言情', '电视剧类'], ['福建电视台东南卫视频道']]
['绝代艳后', ['绝代', '艳后', '空', '空', '空'], ['其它国家电影', '电影类'], ['BTV-影视']]
['忏悔录', ['忏悔录', '空', '空', '空', '空'], ['法治类', '法治纪实'], ['中央电视台社会与法']]
['聊斋新编', ['聊斋', '新编', '空', '空', '空'], ['神怪玄幻', '电视剧类'], ['浙江电视台卫视频道']]
['案发现场第二部', ['案发现场', '第二部', '空', '空', '空'], ['悬疑', '电视剧类'], ['江西电视台卫视频道']]
['桥', ['桥', '空', '空', '空', '空'], ['其它国家电影', '电影类'], ['中央电视台电影频道']]
['赵氏孤儿案', ['赵氏', '孤儿', '案', '空', '空'], ['历史故事', '电视剧类'], ['中央电视台社会与法']]
['高尔夫之夜', ['高尔夫', '之夜', '空', '空', '空'], ['体育专题', '体育类'], ['海南广播电视台旅游卫视频道']]
['动画梦工场', ['动画', '梦工场', '空', '空', '空'], ['青少专题', '青少类'], ['中央电视台少儿频道']]
['等着我', ['等', '着', '我', '空', '空'], ['专题类', '生活服务类'], ['中央电视台新闻综合频道']]
['黎明前的抉择', ['黎明前', '的', '抉择', '空', '空'], ['反特/谍战', '电视剧类'], ['辽宁广播电视台卫视频道']]
['美食大咖秀', ['美食', '大', '咖秀', '空', '空'], ['生活服务类', '饮食'], ['黑龙江电视台卫视频道']]
['浴血坚持', ['浴血', '坚持', '空', '空', '空'], ['战争', '电视剧类'], ['宁夏电视台卫视频道']]
['今晚80后脱口秀', ['今晚', '80', '后', '脱口秀', '空'], ['综艺其它', '综艺类'], ['BTV-文艺']]
['黑脸兄弟', ['黑脸', '兄弟', '空', '空', '空'], ['其它国家电影', '电影类'], ['中央电视台电影频道']]
['幸福辞典', ['幸福', '辞典', '空', '空', '空'], ['生活服务类', '情感调解'], ['吉林电视台卫视频道']]
['YES一族', ['YES', '一族', '空', '空', '空'], ['港澳台电影', '电影类'], ['广东电视台卫视频道']]
['你是我的英雄', ['你', '是', '我', '的', '英雄'], ['港澳台电影', '电影类'], ['BTV-影视']]
['绿色时空', ['绿色', '时空', '空', '空', '空'], ['农业', '专题类'], ['中央电视台军事农业频道']]
['偷窥者', ['偷窥者', '空', '空', '空', '空'], ['内地电影', '电影类'], ['四川广播电视台卫视频道']]
['边城生死恋', ['边城', '生死恋', '空', '空', '空'], ['内地电影', '电影类'], ['江西电视台卫视频道']]
['军营大舞台', ['军营', '大', '舞台', '空', '空'], ['综艺晚会', '真人秀'], ['中央电视台军事农业频道']]
['韩城攻略', ['韩城', '攻略', '空', '空', '空'], ['港澳台电影', '电影类'], ['中央电视台电影频道']]
['炫风驾到', ['炫风', '驾到', '空', '空', '空'], ['综艺其它', '综艺类'], ['广东电视台卫视频道']]
['大微直播间', ['大微', '直播间', '空', '空', '空'], ['综艺其它', '综艺类'], ['海南广播电视台旅游卫视频道']]
['流行无限', ['流行', '无限', '空', '空', '空'], ['专题类', '专题片'], ['中央电视台中文国际频道亚洲版']]
['先进事迹报告会', ['先进事迹', '报告会', '空', '空', '空'], ['新闻/时事其它', '其它类'], ['中央电视台新闻频道']]
['血滴子', ['血滴', '子', '空', '空', '空'], ['内地电影', '电影类'], ['BTV-影视']]
['女神新装', ['女神', '新装', '空', '空', '空'], ['真人秀', '综艺类'], ['BTV-科教']]
['追梦冰雪相逢冬奥', ['追梦', '冰雪', '相逢', '冬奥', '空'], ['新闻/时事类', '大型新闻活动'], ['河北电视台卫视频道']]
['好汉林松', ['好汉', '林松', '空', '空', '空'], ['内地电影', '电影类'], ['广东电视台卫视频道']]
['深宅未醒', ['深宅', '未醒', '空', '空', '空'], ['内地电影', '电影类'], ['四川广播电视台卫视频道']]
['火龙对决', ['火龙', '对决', '空', '空', '空'], ['港澳台电影', '电影类'], ['BTV-影视']]
['笑傲江湖', ['笑傲江湖', '空', '空', '空', '空'], ['真人秀', '综艺类'], ['上海广播电视台东方卫视频道']]
['英雄使命', ['英雄', '使命', '空', '空', '空'], ['战争', '电视剧类'], ['黑龙江电视台卫视频道']]
['中国电影报道', ['中国', '电影', '报道', '空', '空'], ['电影其它', '电影类'], ['中央电视台电影频道']]
['武林大会', ['武林大会', '空', '空', '空', '空'], ['搏击', '体育类'], ['中央电视台体育频道']]
['大话天仙', ['大话', '天仙', '空', '空', '空'], ['内地电影', '电影类'], ['广东电视台卫视频道']]
['财富收藏', ['财富', '收藏', '空', '空', '空'], ['财经类', '收藏/鉴宝'], ['深圳市电视台卫视频道']]
['胜利之歌纪念中国人民抗日战争世界反法西斯战争胜利70周年音乐会', ['胜利', '之歌', '纪念', '中国', '人民'], ['音乐类', '音乐会'], ['中央电视台综艺频道']]
['深呼吸', ['深呼吸', '空', '空', '空', '空'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['金星时间', ['金星', '时间', '空', '空', '空'], ['专题类', '访谈'], ['上海广播电视台东方卫视频道']]
['神丐', ['神丐', '空', '空', '空', '空'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['龙在少林', ['龙', '在', '少林', '空', '空'], ['港澳台电影', '电影类'], ['中央电视台电影频道']]
['桃花劫', ['桃花', '劫', '空', '空', '空'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['背着奶奶进城', ['背着', '奶奶', '进城', '空', '空'], ['都市生活', '电视剧类'], ['BTV-文艺']]
['萌学园第四部', ['萌', '学园', '第四部', '空', '空'], ['科幻', '电视剧类'], ['中央电视台少儿频道']]
['少年四大名捕', ['少年', '四大名捕', '空', '空', '空'], ['武侠', '电视剧类'], ['湖南广播电视台卫视频道']]
['舞蹈世界', ['舞蹈', '世界', '空', '空', '空'], ['综艺其它', '真人秀'], ['中央电视台综艺频道']]
['蜡笔总动员', ['蜡笔', '总动员', '空', '空', '空'], ['电影其它', '电影类'], ['中央电视台电影频道']]
['百姓文化录', ['百姓', '文化', '录', '空', '空'], ['专题类', '专题片'], ['BTV-文艺']]
['第一书记', ['第一书记', '空', '空', '空', '空'], ['专题类', '专题其它'], ['广西电视台卫视频道']]
['烈火金刚', ['烈火', '金刚', '空', '空', '空'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['果宝特攻第三部', ['果宝', '特攻', '第三部', '空', '空'], ['动画', '青少类'], ['广西电视台卫视频道']]
['狙击时刻', ['狙击', '时刻', '空', '空', '空'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['南博会', ['南博会', '空', '空', '空', '空'], ['专题类', '大型专题活动'], ['云南电视台卫视频道']]
['孩子们', ['孩子', '们', '空', '空', '空'], ['其它国家电影', '电影类'], ['中央电视台电影频道']]
['理财有道', ['理财', '有道', '空', '空', '空'], ['投资/理财', '财经类'], ['甘肃电视台卫视频道']]
['大仓库', ['大', '仓库', '空', '空', '空'], ['青少专题', '青少类'], ['中央电视台少儿频道']]
['偏偏喜欢你', ['偏偏', '喜欢', '你', '空', '空'], ['爱情言情', '电视剧类'], ['湖南广播电视台卫视频道']]
['坝上街', ['坝上', '街', '空', '空', '空'], ['时代变迁', '电视剧类'], ['中央电视台电视剧频道']]
['我是植物人', ['我', '是', '植物', '人', '空'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['我知道', ['我', '知道', '空', '空', '空'], ['益智/竞猜游戏', '综艺其它'], ['四川广播电视台卫视频道']]
['疯狂的石头', ['疯狂', '的', '石头', '空', '空'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['刀客家族的女人', ['刀客', '家族', '的', '女人', '空'], ['近代传奇', '电视剧类'], ['江西电视台卫视频道']]
['隋唐英雄', ['隋唐', '英雄', '空', '空', '空'], ['民间传奇', '电视剧类'], ['中央电视台电视剧频道']]
['中原午报', ['中原', '午报', '空', '空', '空'], ['新闻/时事类', '综合新闻'], ['河南电视台卫视频道']]
['假大侠', ['假', '大侠', '空', '空', '空'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['健康团购帮', ['健康', '团购', '帮', '空', '空'], ['其它类', '广告'], ['宁夏电视台卫视频道']]
['箭在弦上', ['箭在弦上', '空', '空', '空', '空'], ['战争', '电视剧类'], ['BTV-青年']]
['中华英雄', ['中华', '英雄', '空', '空', '空'], ['港澳台电影', '电影类'], ['中央电视台电影频道']]
['情定三生', ['情定', '三生', '空', '空', '空'], ['电影类', '内地电影'], ['四川广播电视台卫视频道']]
['吉克隽逸个人演唱会', ['吉克隽逸', '个人', '演唱会', '空', '空'], ['音乐类', '演唱会'], ['中央电视台音乐频道']]
['大咖秀', ['大', '咖秀', '空', '空', '空'], ['其它类', '广告'], ['江西电视台卫视频道']]
['浮华背后', ['浮华', '背后', '空', '空', '空'], ['悬疑', '电视剧类'], ['湖南广播电视台卫视频道']]
['秀水河子歼灭战', ['秀水', '河子', '歼灭战', '空', '空'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['反击', ['反击', '空', '空', '空', '空'], ['反特/谍战', '电视剧类'], ['四川广播电视台卫视频道']]
['五鼠闹东京', ['五鼠', '闹', '东京', '空', '空'], ['港澳台电影', '电影类'], ['中央电视台电影频道']]
['大山深处中国梦经典诵读汇报演出', ['大山深处', '中国', '梦', '经典', '诵读'], ['综艺其它', '综艺类'], ['贵州电视台卫视频道']]
['揭秘', ['揭秘', '空', '空', '空', '空'], ['专题类', '专题片'], ['中国教育电视台综合教育频道']]
['美食公寓', ['美食', '公寓', '空', '空', '空'], ['生活服务类', '饮食'], ['海南广播电视台旅游卫视频道']]
['智取威虎山', ['智取', '威虎山', '空', '空', '空'], ['内地电影', '戏剧类'], ['中央电视台电影频道']]
['甲午陆战启示录', ['甲午', '陆战', '启示录', '空', '空'], ['专题类', '专题片'], ['中央电视台军事农业频道']]
['情人知己', ['情人', '知己', '空', '空', '空'], ['港澳台电影', '电影类'], ['中央电视台电影频道']]
['锦绣缘华丽冒险', ['锦绣', '缘', '华丽', '冒险', '空'], ['爱情言情', '电视剧类'], ['江西电视台卫视频道']]
['女足世界杯开幕式', ['女足', '世界杯', '开幕式', '空', '空'], ['运动会开（闭）幕式', '体育类'], ['中央电视台体育频道']]
['好命先生', ['好命', '先生', '空', '空', '空'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['杨澜访谈录人生相对论', ['杨澜', '访谈录', '人生', '相对论', '空'], ['专题类', '综艺其它'], ['北京电视台高清频道']]
['宫锁沉香', ['宫锁', '沉香', '空', '空', '空'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['女人四十正芬芳', ['女人', '四十', '正', '芬芳', '空'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['青年干探', ['青年', '干探', '空', '空', '空'], ['港澳台电影', '电影类'], ['中央电视台电影频道']]
['妈妈去哪儿', ['妈妈', '去', '哪儿', '空', '空'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['波波小学堂', ['波波', '小', '学堂', '空', '空'], ['青少其它', '青少类'], ['甘肃电视台卫视频道']]
['贵州人口', ['贵州', '人口', '空', '空', '空'], ['新闻/时事其它', '新闻/时事类'], ['贵州电视台卫视频道']]
['天堂口', ['天堂', '口', '空', '空', '空'], ['港澳台电影', '电影类'], ['中央电视台电影频道']]
['告密者', ['告密者', '空', '空', '空', '空'], ['反特/谍战', '电视剧类'], ['中国教育电视台综合教育频道']]
['追梦在路上', ['追梦', '在', '路上', '空', '空'], ['专题类', '专题片'], ['广东电视台卫视频道']]
['精武小英雄', ['精武', '小', '英雄', '空', '空'], ['港澳台电影', '电影类'], ['BTV-影视']]
['拥抱每一刻花火', ['拥抱', '每一刻', '花火', '空', '空'], ['港澳台电影', '电影类'], ['BTV-影视']]
['火线反攻', ['火线', '反攻', '空', '空', '空'], ['其它国家电影', '电影类'], ['中央电视台电影频道']]
['七小福', ['七小福', '空', '空', '空', '空'], ['港澳台电影', '电影类'], ['广东电视台卫视频道']]
['国际足球友谊赛', ['国际足球', '友谊赛', '空', '空', '空'], ['足球', '体育类'], ['BTV-体育']]
['天府新商界', ['天府', '新', '商界', '空', '空'], ['投资/理财', '财经类'], ['四川广播电视台卫视频道']]
['机器侠', ['机器', '侠', '空', '空', '空'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['中国农民歌会', ['中国', '农民', '歌会', '空', '空'], ['真人秀', '综艺类'], ['安徽广播电视台卫视频道']]
['扬帆走海丝', ['扬帆', '走海丝', '空', '空', '空'], ['专题类', '专题片'], ['福建电视台东南卫视频道']]
['浴血雁门关', ['浴血', '雁门关', '空', '空', '空'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['百里挑一', ['百里挑一', '空', '空', '空', '空'], ['电影类', '择偶'], ['上海广播电视台东方卫视频道']]
['上海电视节白玉兰奖优秀电视节目展播', ['上海', '电视节', '白玉兰', '奖', '优秀'], ['其它类', '欣赏'], ['上海广播电视台东方卫视频道']]
['祛斑大赢家', ['祛斑', '大赢家', '空', '空', '空'], ['其它类', '广告'], ['陕西电视台卫视频道']]
['纳瓦隆大炮', ['纳', '瓦隆', '大炮', '空', '空'], ['其它国家电影', '电影类'], ['中央电视台电影频道']]
['洛克王国大冒险第三部', ['洛克', '王国', '大冒险', '第三部', '空'], ['动画', '青少类'], ['湖南广播电视台金鹰卡通频道']]
['高尔夫欧巡赛', ['高尔夫', '欧巡赛', '空', '空', '空'], ['高尔夫', '体育类'], ['中央电视台体育频道']]
['于硕说天气', ['于', '硕', '说', '天气', '空'], ['天气预报', '生活服务类'], ['黑龙江电视台卫视频道']]
['白衣侠女', ['白衣', '侠女', '空', '空', '空'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['篮球集锦', ['篮球', '集锦', '空', '空', '空'], ['体育其它', '体育类'], ['中央电视台体育频道']]
['与全世界做生意', ['与', '全世界', '做生意', '空', '空'], ['专题类', '专题片'], ['中央电视台综艺频道']]
['老年惠给你好听力', ['老年', '惠给', '你好', '听力', '空'], ['其它类', '广告'], ['云南电视台卫视频道']]
['金玉瑶', ['金玉', '瑶', '空', '空', '空'], ['近代传奇', '电视剧类'], ['中央电视台电视剧频道']]
['法治在线', ['法治', '在线', '空', '空', '空'], ['法治类', '法治专题'], ['中央电视台新闻频道']]
['墨攻', ['墨攻', '空', '空', '空', '空'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['宝宝抱抱', ['宝宝', '抱抱', '空', '空', '空'], ['生活服务类', '生活服务其它'], ['辽宁广播电视台卫视频道']]
['粉红猪小妹', ['粉红', '猪', '小妹', '空', '空'], ['动画', '青少类'], ['中央电视台少儿频道']]
['月亮上的人', ['月亮', '上', '的', '人', '空'], ['电影其它', '电影类'], ['中央电视台电影频道']]
['浮华饭店', ['浮华', '饭店', '空', '空', '空'], ['爱情言情', '电视剧类'], ['中央电视台电视剧频道']]
['大丈夫', ['大丈夫', '空', '空', '空', '空'], ['都市生活', '电视剧类'], ['中央电视台电视剧频道']]
['侬本痴情', ['侬', '本', '痴情', '空', '空'], ['内地电影', '电影类'], ['广东电视台卫视频道']]
['荣耀时刻', ['荣耀', '时刻', '空', '空', '空'], ['体育其它', '体育类'], ['中央电视台体育频道']]
['芳香之城传奇', ['芳香', '之', '城', '传奇', '空'], ['内地电影', '电影类'], ['BTV-影视']]
['魅力女人365', ['魅力', '女人', '365', '空', '空'], ['其它类', '广告'], ['江西电视台卫视频道']]
['再见', ['再见', '空', '空', '空', '空'], ['其它类', '再见'], ['江西电视台卫视频道']]
['稻草人上门', ['稻草人', '上门', '空', '空', '空'], ['内地电影', '电影类'], ['江西电视台卫视频道']]
['甜心格格', ['甜心', '格格', '空', '空', '空'], ['动画', '青少类'], ['中央电视台少儿频道']]
['密战', ['密战', '空', '空', '空', '空'], ['反特/谍战', '电视剧类'], ['中国教育电视台综合教育频道']]
['滑稽时代', ['滑稽', '时代', '空', '空', '空'], ['港澳台电影', '电影类'], ['BTV-影视']]
['童话二分之一', ['童话', '二分之一', '空', '空', '空'], ['都市生活', '电视剧类'], ['青海电视台卫视频道']]
['龙的传人', ['龙的传人', '空', '空', '空', '空'], ['港澳台电影', '电影类'], ['BTV-影视']]
['超级保姆', ['超级', '保姆', '空', '空', '空'], ['生活服务类', '生活服务其它'], ['中央电视台财经频道']]
['倩女幽魂', ['倩女幽魂', '空', '空', '空', '空'], ['港澳台电影', '内地电影'], ['中央电视台电影频道']]
['龙腾虎跃', ['龙腾虎跃', '空', '空', '空', '空'], ['港澳台电影', '电影类'], ['广东电视台卫视频道']]
['孟良崮', ['孟良崮', '空', '空', '空', '空'], ['专题类', '专题片'], ['江苏电视台新闻综合卫视频道']]
['陆小凤与花满楼', ['陆小凤', '与', '花', '满楼', '空'], ['武侠', '电视剧类'], ['上海广播电视台东方卫视频道']]
['荣耀印证', ['荣耀', '印证', '空', '空', '空'], ['其它类', '广告'], ['黑龙江电视台卫视频道']]
['世界沙滩排球巡回赛', ['世界', '沙滩排球', '巡回赛', '空', '空'], ['体育类', '排球'], ['中央电视台体育频道']]
['缉枪行动', ['缉枪', '行动', '空', '空', '空'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['猪猪侠之变身小英雄', ['猪猪', '侠', '之', '变身', '小'], ['动画', '青少类'], ['湖南广播电视台金鹰卡通频道']]
['重庆新闻联播', ['重庆', '新闻联播', '空', '空', '空'], ['新闻/时事类', '综合新闻'], ['重庆电视台卫视频道']]
['鸳鸯佩', ['鸳鸯', '佩', '空', '空', '空'], ['爱情言情', '电视剧类'], ['江西电视台卫视频道']]
['青春戏苑', ['青春', '戏苑', '空', '空', '空'], ['戏剧专题', '戏剧类'], ['中央电视台戏曲频道']]
['之旅', ['之旅', '空', '空', '空', '空'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['年轻十岁', ['年轻', '十岁', '空', '空', '空'], ['美容/服饰', '生活服务类'], ['安徽广播电视台卫视频道']]
['绝地枪王', ['绝地', '枪王', '空', '空', '空'], ['战争', '电视剧类'], ['中央电视台电视剧频道']]
['你是我兄弟', ['你', '是', '我', '兄弟', '空'], ['社会伦理', '电视剧类'], ['天津广播电视台卫视频道']]
['刀剑笑', ['刀剑笑', '空', '空', '空', '空'], ['港澳台电影', '电影类'], ['BTV-影视']]
['丁丁历险记', ['丁丁', '历险记', '空', '空', '空'], ['电影其它', '电影类'], ['中央电视台电影频道']]
['姐妹无常', ['姐妹', '无常', '空', '空', '空'], ['内地电影', '电影类'], ['四川广播电视台卫视频道']]
['幸福小公园', ['幸福', '小', '公园', '空', '空'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['莱茵伯格家族', ['莱茵', '伯格', '家族', '空', '空'], ['社会伦理', '电视剧类'], ['中央电视台电视剧频道']]
['请摘星星给我', ['请', '摘', '星星', '给', '我'], ['社会伦理', '电视剧类'], ['安徽广播电视台卫视频道']]
['情侠追风剑', ['情侠', '追风', '剑', '空', '空'], ['港澳台电影', '电影类'], ['BTV-影视']]
['波牛', ['波牛', '空', '空', '空', '空'], ['港澳台电影', '电影类'], ['BTV-影视']]
['机BOY小子之真假威龙', ['机', 'BOY', '小子', '之', '真假'], ['港澳台电影', '电影类'], ['中央电视台电影频道']]
['名医补肾八宝强肾汤补强男人肾', ['名医', '补肾', '八宝', '强', '肾'], ['其它类', '广告'], ['新疆电视台汉语卫视频道']]
['烽火英雄传', ['烽火', '英雄传', '空', '空', '空'], ['战争', '电视剧类'], ['贵州电视台卫视频道']]
['把光明点燃', ['把', '光明', '点燃', '空', '空'], ['专题类', '专题片'], ['安徽广播电视台卫视频道']]
